competition,configuration,ml_weight,poisson_weight,match_count,accuracy,log_loss,brier_score,macro_f1,weighted_f1,draw_recall,away_recall,home_recall
Ligue 1,60 ML / 40 Poisson,0.6,0.4,1210,0.5305785123966942,1.0034346992469234,0.5938092801273578,0.41120562122355353,0.47592335099284355,0.02952029520295203,0.6790450928381963,0.6725978647686833
Premier League,60 ML / 40 Poisson,0.6,0.4,1520,0.49605263157894736,1.0284564970156627,0.6159357484777711,0.3834840463917124,0.42746105518299166,0.007614213197969543,0.6300813008130082,0.695583596214511
Primeira Liga,60 ML / 40 Poisson,0.6,0.4,1220,0.559016393442623,0.9444368835385722,0.5585935587521648,0.4647809975058319,0.5020286332991961,0.07098765432098765,0.7571801566579635,0.7192982456140351
Serie A,60 ML / 40 Poisson,0.6,0.4,1508,0.5172413793103449,0.9942321741555107,0.5922372673245676,0.42300467386721435,0.4556158814634227,0.04390243902439024,0.6640316205533597,0.7195945945945946
Turkish Super League,60 ML / 40 Poisson,0.6,0.4,648,0.5061728395061729,0.992353868083754,0.5914164854150364,0.3944025807962688,0.4412201727481949,0.01775147928994083,0.6847826086956522,0.6745762711864407
Overall,50 ML / 50 Poisson,0.5,0.5,10343,0.5214154500628444,0.9982620806011323,0.5927974505634637,0.40389975876172185,0.45479759434211214,0.015402387370042356,0.6711864406779661,0.7053988002666074
Bundesliga,50 ML / 50 Poisson,0.5,0.5,1151,0.5230234578627281,1.0114270150701994,0.5996235524755815,0.3969718117950456,0.45042642981878483,0.0,0.6481012658227848,0.7346072186836518
Champions League,50 ML / 50 Poisson,0.5,0.5,378,0.5687830687830688,1.0005231751727577,0.5802706144883498,0.4155145651551457,0.5257613519560262,0.01694915254237288,0.6328125,0.6963350785340314
Eredivisie,50 ML / 50 Poisson,0.5,0.5,1200,0.5225,1.002237896364241,0.593342965808212,0.40964432334473266,0.4578972829031818,0.02280130293159609,0.7005649717514124,0.6901669758812616
La Liga,50 ML / 50 Poisson,0.5,0.5,1508,0.513262599469496,1.0028040131991278,0.5947856342220155,0.39870810199425205,0.45579616229480235,0.023809523809523808,0.6549295774647887,0.6903409090909091
Ligue 1,50 ML / 50 Poisson,0.5,0.5,1210,0.5247933884297521,1.0011245828499704,0.593000095486818,0.39516033074761575,0.46443642170468064,0.007380073800738007,0.6737400530503979,0.6743772241992882
